case,gen,target_latency,llm_latency,file
11,0,22.174392471313478,13.373952026367187,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case11-gen0.log
11,1,21.788651542663573,9.676226463317871,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case11-gen1.log
11,2,21.792296867370606,8.335974445343018,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case11-gen2.log
11,3,21.795983238220217,7.991193532943726,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case11-gen3.log
12,sakana,7.2584806823730466,0.08009727731347084,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
12,0,7.260323944091797,0.11524096176028252,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case12-gen0.log
12,1,7.277486057281494,0.08138751775026322,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case12-gen1.log
12,2,7.264727001190185,0.0793599970638752,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case12-gen2.log
12,3,7.288606796264649,0.0791961570084095,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case12-gen3.log
13,sakana,7.221329956054688,8.530902976989745,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
13,0,7.238615093231201,5.115330533981323,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case13-gen0.log
13,1,7.223439388275146,4.6046821403503415,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case13-gen1.log
13,2,7.232061443328857,2.2880870580673216,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case13-gen2.log
13,3,7.235706825256347,1.455636477470398,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case13-gen3.log
14,sakana,7.288852548599243,6.41171462059021,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
14,0,7.293788232803345,0.9889382445812225,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case14-gen0.log
14,1,7.288361072540283,0.692879364490509,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case14-gen1.log
14,2,7.295918140411377,0.6337331211566926,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case14-gen2.log
14,3,7.2963277530670165,0.5858303987979889,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case14-gen3.log
15,sakana,7.290122327804565,10.968965091705321,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
15,0,7.314534425735474,1.7748172855377198,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case15-gen0.log
15,1,7.294689388275146,1.2198912000656128,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case15-gen1.log
15,2,7.294812202453613,0.45381632149219514,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case15-gen2.log
15,3,7.295877180099487,0.41719808101654055,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case15-gen3.log
16,sakana,8.019599332809449,30.709329986572264,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
16,0,7.999590368270874,6.266613693237304,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case16-gen0.log
16,1,7.980154886245727,4.098662481307984,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case16-gen1.log
16,2,7.959572458267212,3.6043161869049074,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case16-gen2.log
16,3,7.9713075160980225,3.521904559135437,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case16-gen3.log
17,sakana,7.644016542434692,40.05711891174317,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
17,0,7.684096012115479,8.8144895362854,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case17-gen0.log
17,1,7.64467191696167,8.572887115478515,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case17-gen1.log
17,2,7.658229751586914,2.8215910673141478,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case17-gen2.log
17,3,7.653519344329834,2.6371072483062745,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case17-gen3.log
18,sakana,7.449538602828979,24.762286109924318,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
18,0,7.443599424362183,10.791649341583252,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case18-gen0.log
18,1,7.452180547714233,4.1314714241027835,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case18-gen1.log
18,2,7.451279401779175,3.52014328956604,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case18-gen2.log
18,3,7.44714243888855,0.7901388764381408,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case18-gen3.log
19,sakana,7.324631052017212,7.907368993759155,/data/home/wuqidie/projects/draw_circule_latency_bylog/sakana_summary.log
19,0,7.501926422119141,7.267020797729492,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case19-gen0.log
19,1,7.32483585357666,7.205519313812256,/data/home/wuqidie/projects/draw_circule_latency_bylog/all_log_files/case19-gen1.log
